속성	이름	설명	장신구 타입	초기 내구도
감성	기본장신구 감성	감성이 메마르다	0	10000
계산	기본장신구 계산	계산이 느리다	0	10000
논리	기본장신구 논리	논리가 부족하다	0	10000
암기	기본장신구 암기	암기에 취약하다	0	10000
친화	기본장신구 친화	친화력이 부족하다	0	10000
감성	발가락 양말	얼마나 따뜻한데	1	100
감성	블루투스 이어폰	공유이벤트 당첨되셨습니다.	2	100
감성	첫눈	오긴 올까요	3	100
감성	한 번에 잡은 벚꽃	잡아도 안 생겨요	4	100
감성	오늘 점심 밥풀	저녁에 먹을거야	5	100
친화	자장면 면발	머리카락인 줄	1	100
친화	고개 숙일 줄 모르는 웹캠	이마 미인이시네요	2	100
친화	술뚜껑 반지	발가락까지 끼워도 남는다	3	100
친화	옷에 묻은 노벨이 털	노벨쨩....카와이....	4	100
친화	교수님이 주신 팥차	마셔도 될까?	5	100
논리	도지 모자	광신도의 물품	1	100
논리	비둘기 원리의 깃털	기분 나쁜 냄새가 난다	2	100
논리	게르마늄 팔찌	영험한 기운	3	100
논리	스파게티 소스	토마토 맛이 난다	4	100
논리	소형 빌게이츠 조종 모듈	드디어.	5	100
계산	깨진 휴대폰	일물실...	1	100
계산	시계는 와치	충전이 귀찮다	2	100
계산	머리	머리는 장식이다	3	100
계산	공학용	데굴 끼룩 크앙	4	100
계산	d∕dx	뭔가 없어진거 같다	5	100
암기	목걸이 학생증	잊지말라고	1	100
암기	야바위꾼 컵	모자입니다.	2	100
암기	그리스 문자 물음표	세미콜론이 아닙니다	3	100
암기	강의 자료	강에서 발견되었다	4	100
암기	암기 빵	입에 물면 로맨스 주인공	5	100
